,Total_outstanding_balance__mortg,Public_info_CCJ_ban,Public_info_CCJ_value,Time_since_most_recent_Public_In,CAIS_8_9_total,Status_3s_L6m,Years_on_ER_for_SP,Total___outstanding_CCJ_s,Total_outstanding_balance___excl,Total___of_accounts,Time_since_most_recent_outstandi
4372,0,0,0,99,14,0,16,0,35,3,99
4373,76,0,0,99,63,0,14,0,69,7,99
4374,59,0,0,99,0,0,4,0,93,3,99
4375,0,0,0,99,0,0,0,0,156,7,99
4376,159,0,0,99,9,0,12,0,152,7,99
4377,0,0,0,99,0,0,25,0,122,4,99
4378,137,1,1,23,280,0,1,1,8,6,23
4379,0,0,0,99,0,0,10,0,246,9,99
4380,0,0,0,99,8,0,3,0,32,9,99
4381,65,0,0,99,0,3,22,0,484,9,99
4382,303,0,0,99,0,0,1,0,412,9,99
4383,0,0,0,99,0,0,2,0,73,9,99
4384,0,0,0,99,0,0,22,0,69,3,99
4385,0,2,7,10,6,0,1,1,76,3,27
4386,58,0,0,99,0,0,8,0,186,7,99
4387,0,0,0,99,0,0,7,0,38,7,99
4388,0,0,0,99,0,0,5,0,77,6,99
4389,89,0,0,99,0,0,10,0,293,8,99
4390,11,0,0,99,65,0,25,0,373,2,99
4391,72,0,0,99,0,0,0,0,309,8,99
4392,125,0,0,99,0,0,0,0,40,7,99
4393,46,0,0,99,0,0,9,0,295,5,99
4394,82,0,0,99,0,0,1,0,245,8,99
4395,156,0,0,99,8,0,2,0,125,8,99
4396,156,0,0,99,8,0,2,0,125,8,99
4397,52,0,0,99,4,0,7,0,50,9,99
4398,36,0,0,99,0,0,6,0,97,6,99
4399,0,0,0,99,6,0,2,0,886,9,99
4400,69,0,0,99,0,0,1,0,73,4,99
4401,118,0,0,99,0,0,0,0,126,8,99
4402,243,0,0,99,34,0,0,0,5,4,99
4403,63,0,0,99,126,0,8,0,72,5,99
4404,0,0,0,99,0,0,1,0,74,4,99
4405,109,0,0,99,77,0,2,0,227,9,99
4406,41,0,0,99,0,0,11,0,16,9,99
4407,0,0,0,99,0,0,0,0,24,4,99
4408,32,0,0,99,0,0,6,0,175,5,99
4409,178,0,0,99,0,0,5,0,183,9,99
4410,0,1,3,23,6,0,5,1,144,3,23
4411,0,0,0,99,0,0,3,0,57,6,99
4412,0,0,0,99,0,0,1,0,35,4,99
4413,102,0,0,99,0,0,5,0,28,7,99
4414,49,0,0,99,1,0,3,0,15,9,99
4415,0,0,0,99,0,0,10,0,53,5,99
4416,74,1,3,61,9,0,2,0,16,7,99
4417,33,0,0,99,114,0,0,0,323,5,99
4418,0,0,0,99,0,0,6,0,188,6,99
4419,66,0,0,99,6,0,2,0,0,1,99
4420,204,0,0,99,0,0,2,0,158,7,99
4421,150,0,0,99,0,0,15,0,247,6,99
4422,0,0,0,99,0,0,3,0,147,9,99
4423,72,0,0,99,0,0,1,0,22,7,99
4424,211,0,0,99,3,1,4,0,414,9,99
4425,71,0,0,99,0,0,5,0,93,5,99
4426,64,0,0,99,0,0,27,0,162,9,99
4427,125,0,0,99,0,0,2,0,441,9,99
4428,43,0,0,99,16,5,8,0,120,9,99
4429,51,0,0,99,0,0,23,0,35,7,99
4430,0,0,0,99,0,0,16,0,758,9,99
4431,0,0,0,99,0,0,14,0,57,3,99
4432,0,0,0,99,0,0,21,0,23,2,99
4433,0,0,0,99,0,0,4,0,69,2,99
4434,0,0,0,99,0,0,1,0,45,2,99
4435,0,0,0,99,0,0,3,0,208,7,99
4436,50,0,0,99,0,0,6,0,319,7,99
4437,31,0,0,99,0,0,14,0,154,6,99
4438,77,0,0,99,46,0,8,0,253,9,99
4439,36,0,0,99,0,0,22,0,601,9,99
4440,111,0,0,99,0,0,5,0,81,6,99
4441,0,0,0,99,0,1,3,0,77,8,99
4442,0,0,0,99,63,0,1,0,204,9,99
4443,69,2,25,13,62,9,19,2,265,6,13
4444,65,0,0,99,0,0,21,0,25,9,99
4445,0,0,0,99,0,0,0,0,135,4,99
4446,94,0,0,99,0,0,1,0,173,6,99
4447,38,0,0,99,103,0,6,0,44,5,99
4448,79,0,0,99,0,0,18,0,35,6,99
4449,0,0,0,99,0,0,0,0,13,3,99
4450,72,0,0,99,18,0,16,0,59,7,99
4451,50,0,0,99,0,0,14,0,21,9,99
4452,0,0,0,99,0,0,7,0,134,7,99
4453,71,0,0,99,0,0,2,0,24,4,99
4454,68,0,0,99,84,0,4,0,25,7,99
4455,0,0,0,99,0,0,6,0,86,3,99
4456,176,0,0,99,0,0,3,0,502,9,99
4457,0,0,0,99,0,0,22,0,264,5,99
4458,102,0,0,99,338,0,15,0,99,7,99
4459,188,0,0,99,9,0,1,0,57,6,99
4460,0,0,0,99,0,0,0,0,0,0,99
4461,0,0,0,99,0,0,0,0,0,0,99
4462,255,0,0,99,102,0,0,0,117,6,99
